epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.7074,1.84214,0.2,0.975,1.7112,9e-05,9e-05,9e-05
2,14.6313,1.7217,0.325,0.95,1.71799,0.000186238,0.000186238,0.000186238
3,20.1958,1.60281,0.375,0.95,1.54939,0.000278516,0.000278516,0.000278516
4,25.5076,1.53904,0.4,0.95,1.53692,0.000366834,0.000366834,0.000366834
5,30.8467,1.36489,0.475,0.975,1.29474,0.000451192,0.000451192,0.000451192
6,36.1838,1.2239,0.525,1,1.10795,0.00053159,0.00053159,0.00053159
7,41.5618,1.10614,0.65,1,1.19186,0.000608028,0.000608028,0.000608028
8,47.0058,1.03542,0.7,1,0.80934,0.000680506,0.000680506,0.000680506
9,52.5869,0.86417,0.725,1,0.77327,0.000749024,0.000749024,0.000749024
10,57.9349,0.78806,0.7,1,0.78493,0.000813582,0.000813582,0.000813582
11,63.2595,0.66612,0.75,1,0.67621,0.000802,0.000802,0.000802
12,68.5191,0.52662,0.8,1,0.50899,0.0007822,0.0007822,0.0007822
13,73.8591,0.46783,0.825,1,0.46331,0.0007624,0.0007624,0.0007624
14,79.1826,0.53655,0.8,1,0.39057,0.0007426,0.0007426,0.0007426
15,84.6049,0.40332,0.75,1,0.43001,0.0007228,0.0007228,0.0007228
16,89.9826,0.32435,0.725,1,0.43272,0.000703,0.000703,0.000703
17,95.6582,0.38554,0.775,1,0.38833,0.0006832,0.0006832,0.0006832
18,101.011,0.29928,0.85,1,0.25394,0.0006634,0.0006634,0.0006634
19,106.298,0.24014,0.85,1,0.35458,0.0006436,0.0006436,0.0006436
20,111.556,0.35435,0.85,1,0.44428,0.0006238,0.0006238,0.0006238
21,116.937,0.20134,0.85,1,0.281,0.000604,0.000604,0.000604
22,122.338,0.2455,0.875,1,0.33892,0.0005842,0.0005842,0.0005842
23,127.751,0.17108,0.875,1,0.33412,0.0005644,0.0005644,0.0005644
24,133.286,0.29073,0.875,1,0.32842,0.0005446,0.0005446,0.0005446
25,138.876,0.17431,0.9,1,0.19775,0.0005248,0.0005248,0.0005248
26,144.531,0.20285,0.925,1,0.20766,0.000505,0.000505,0.000505
27,149.864,0.17498,0.925,1,0.18659,0.0004852,0.0004852,0.0004852
28,155.754,0.11403,0.95,1,0.20154,0.0004654,0.0004654,0.0004654
29,161.101,0.2103,0.95,1,0.17841,0.0004456,0.0004456,0.0004456
30,166.393,0.24698,0.95,1,0.20479,0.0004258,0.0004258,0.0004258
31,171.612,0.132,0.95,1,0.18216,0.000406,0.000406,0.000406
32,176.774,0.11494,0.95,1,0.41576,0.0003862,0.0003862,0.0003862
33,182.044,0.14195,0.95,1,0.19134,0.0003664,0.0003664,0.0003664
34,187.586,0.19404,0.95,1,0.19025,0.0003466,0.0003466,0.0003466
35,192.792,0.09409,0.95,1,0.19242,0.0003268,0.0003268,0.0003268
36,197.994,0.1473,0.95,1,0.18385,0.000307,0.000307,0.000307
37,203.152,0.14633,0.95,1,0.16918,0.0002872,0.0002872,0.0002872
38,208.294,0.13568,0.95,1,0.35288,0.0002674,0.0002674,0.0002674
39,213.79,0.06851,0.95,1,0.16415,0.0002476,0.0002476,0.0002476
40,219.015,0.09122,0.95,1,0.16022,0.0002278,0.0002278,0.0002278
41,224.353,0.06743,0.95,1,0.5201,0.000208,0.000208,0.000208
42,229.81,0.06955,0.95,1,0.32366,0.0001882,0.0001882,0.0001882
43,235.006,0.14541,0.95,1,0.20739,0.0001684,0.0001684,0.0001684
44,240.169,0.16033,0.95,1,0.39795,0.0001486,0.0001486,0.0001486
45,245.404,0.08514,0.95,1,0.15818,0.0001288,0.0001288,0.0001288
46,250.717,0.11128,0.95,1,0.14614,0.000109,0.000109,0.000109
47,255.87,0.15371,0.95,1,0.38524,8.92e-05,8.92e-05,8.92e-05
48,261.055,0.11732,0.95,1,0.32922,6.94e-05,6.94e-05,6.94e-05
49,266.403,0.07849,0.95,1,0.18352,4.96e-05,4.96e-05,4.96e-05
50,271.915,0.09215,0.925,1,0.30099,2.98e-05,2.98e-05,2.98e-05
