epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91207,1.44196,3.78105,1.65727,0.43994,0.35322,0.28408,0.22018,0.72252,3.09118,1.33566,0.00013332,0.00013332,0.00013332
2,6.19465,0.80468,2.65573,1.28476,0.57458,0.5895,0.52092,0.46644,0.65951,1.96766,1.27282,0.000272251,0.000272251,0.000272251
3,7.42054,0.70608,1.66296,1.27199,0.60135,0.92352,0.8066,0.69773,0.62243,2.03464,1.2162,0.000405462,0.000405462,0.000405462
4,8.64761,0.65186,1.05207,1.22614,0.79413,0.94127,0.96125,0.85754,0.59038,1.04992,1.20106,0.000532953,0.000532953,0.000532953
5,9.83602,0.60048,0.81314,1.16671,0.9053,0.97346,0.98942,0.9107,0.54472,0.73118,1.15242,0.000654726,0.000654726,0.000654726
6,11.0592,0.56791,0.72209,1.15121,0.992,0.99041,0.99267,0.91804,0.48136,0.51247,1.22178,0.000770778,0.000770778,0.000770778
7,12.2281,0.53516,0.61941,1.1475,0.99321,0.99117,0.99293,0.92094,0.51603,0.52306,1.13353,0.000881112,0.000881112,0.000881112
8,13.417,0.5139,0.56749,1.13998,0.98909,0.99694,0.99409,0.92546,0.4641,0.42588,1.15808,0.000957015,0.000957015,0.000957015
9,14.6047,0.49535,0.53556,1.15426,0.991,0.99965,0.99413,0.94117,0.41827,0.40403,1.12078,0.000935018,0.000935018,0.000935018
10,15.8258,0.48362,0.49059,1.09879,0.99344,0.99927,0.99416,0.94213,0.4345,0.40129,1.18671,0.00091302,0.00091302,0.00091302
11,17.0564,0.47565,0.46127,1.09337,0.99076,0.99714,0.99419,0.94749,0.43794,0.38436,1.11151,0.000891022,0.000891022,0.000891022
12,18.2456,0.44525,0.43728,1.09242,0.99115,0.99382,0.99437,0.95165,0.40737,0.37366,1.14123,0.000869024,0.000869024,0.000869024
13,19.4362,0.44089,0.41942,1.08842,0.98888,0.99898,0.99411,0.9368,0.43419,0.37426,1.11311,0.000847026,0.000847026,0.000847026
14,20.5911,0.4578,0.41291,1.08319,0.98861,0.99898,0.99406,0.95431,0.39775,0.34647,1.11006,0.000825029,0.000825029,0.000825029
15,21.7865,0.43864,0.40265,1.10049,0.98699,0.99898,0.99399,0.95518,0.38508,0.34752,1.13803,0.000803031,0.000803031,0.000803031
16,23.0021,0.42574,0.39616,1.09282,0.98913,0.99898,0.99385,0.95744,0.3805,0.3526,1.12227,0.000781033,0.000781033,0.000781033
