epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34479,1.27761,3.7868,1.60812,0.39585,0.32785,0.24941,0.21142,0.69381,3.04558,1.35972,0.00013332,0.00013332,0.00013332
2,9.65342,0.79366,2.71958,1.22437,0.44212,0.56833,0.45696,0.39823,0.68386,2.28002,1.34218,0.000272251,0.000272251,0.000272251
3,11.4118,0.76153,1.87315,1.21074,0.56936,0.80506,0.75079,0.6369,0.71411,1.50194,1.23466,0.000405462,0.000405462,0.000405462
4,13.2037,0.69741,1.25214,1.17473,0.64827,0.72254,0.86945,0.76035,0.70407,1.471,1.23205,0.000532953,0.000532953,0.000532953
5,15.4363,0.66985,1.00678,1.17873,0.63118,0.9035,0.85459,0.75491,0.60317,1.04041,1.18679,0.000654726,0.000654726,0.000654726
6,17.558,0.63719,0.84488,1.1311,0.9331,0.94666,0.98275,0.88275,0.54583,0.73656,1.25256,0.000770778,0.000770778,0.000770778
7,19.751,0.60322,0.71813,1.12891,0.98305,0.98081,0.99139,0.89599,0.57866,0.64956,1.26888,0.000881112,0.000881112,0.000881112
8,21.5477,0.60475,0.66527,1.13478,0.98672,0.99257,0.99234,0.88105,0.57423,0.49031,1.24081,0.000957015,0.000957015,0.000957015
9,23.1658,0.57364,0.61979,1.11865,0.99175,0.9949,0.99305,0.88044,0.59091,0.48102,1.20974,0.000935018,0.000935018,0.000935018
10,25.1622,0.56313,0.57317,1.12965,0.99272,0.99491,0.99406,0.91364,0.55711,0.479,1.14973,0.00091302,0.00091302,0.00091302
11,27.2616,0.57041,0.5547,1.11064,0.98531,0.99842,0.99409,0.90404,0.57122,0.45719,1.23193,0.000891022,0.000891022,0.000891022
12,29.3514,0.55229,0.52584,1.10783,0.98743,0.99898,0.99371,0.90793,0.54269,0.43177,1.15924,0.000869024,0.000869024,0.000869024
13,31.2963,0.53882,0.50338,1.11575,0.98383,0.99635,0.99357,0.90428,0.54926,0.43617,1.16272,0.000847026,0.000847026,0.000847026
14,33.192,0.55463,0.49122,1.10008,0.99096,0.99898,0.99334,0.92525,0.53173,0.42159,1.18437,0.000825029,0.000825029,0.000825029
15,35.1489,0.53577,0.4741,1.08677,0.98756,0.99821,0.99311,0.90915,0.55075,0.42296,1.44987,0.000803031,0.000803031,0.000803031
